sentence,word,POS
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,אם,CC
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,מישהו,NN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,דומה,BN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,ל,IN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,הוא,S_PRN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,זה,PRP
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,אומר,BN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,ש,REL
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,יש,EX
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,בין,IN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,הם,S_PRN
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,דמיון,NN
הרווקות נגמרת בשעת החתונה,ה,DEF
הרווקות נגמרת בשעת החתונה,רווקות,NN
הרווקות נגמרת בשעת החתונה,נגמרת,BN
הרווקות נגמרת בשעת החתונה,ב,PREPOSITION
הרווקות נגמרת בשעת החתונה,שעת,NNT
הרווקות נגמרת בשעת החתונה,ה,DEF
הרווקות נגמרת בשעת החתונה,חתונה,NN
שינוי לרעה הוא החמרה,שינוי,NN
שינוי לרעה הוא החמרה,ל,PREPOSITION
שינוי לרעה הוא החמרה,רעה,NN
שינוי לרעה הוא החמרה,הוא,COP
שינוי לרעה הוא החמרה,ה,DEF
שינוי לרעה הוא החמרה,חמרה,NN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,גמלאות,NNT
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,(תשלומי,NNP
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,פנסיה),NNP
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,הן,COP
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,מה,QW
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,ש,REL
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,אדם,NN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,מקבל,BN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,לאחר,IN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,גיל,NNT
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,ה,DEF
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,פרישה,NN
היום נגמר בשעת שקיעה,היום,RB
היום נגמר בשעת שקיעה,נגמר,BN
היום נגמר בשעת שקיעה,ב,PREPOSITION
היום נגמר בשעת שקיעה,שעת,NNP
היום נגמר בשעת שקיעה,שקיעה,NN
מי שסובל מקירחות אינו זקוק לתספורת,מי,QW
מי שסובל מקירחות אינו זקוק לתספורת,ש,REL
מי שסובל מקירחות אינו זקוק לתספורת,סובל,BN
מי שסובל מקירחות אינו זקוק לתספורת,מ,PREPOSITION
מי שסובל מקירחות אינו זקוק לתספורת,קירחות,NN
מי שסובל מקירחות אינו זקוק לתספורת,אינו,COP
מי שסובל מקירחות אינו זקוק לתספורת,זקוק,JJ
מי שסובל מקירחות אינו זקוק לתספורת,ל,PREPOSITION
מי שסובל מקירחות אינו זקוק לתספורת,ה,DEF
מי שסובל מקירחות אינו זקוק לתספורת,תספורת,NN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,אדם,NN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ש,REL
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הלם,VB
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ב,PREPOSITION
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ה,DEF
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,דבר,NN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,מה,QW
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הוא,COP
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,אדם,NN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ש,REL
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הקיש,VB
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ב,PREPOSITION
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ה,DEF
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,דבר,NN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,מה,QW
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,בחוזקה,RB
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,אם,CC
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,דבר,VB
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,מה,QW
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,נמחץ,BN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,סימן,NN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,ש,REL
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,מישהו,NN
