id,year,chapter,source,difficulty,base,base_description,option_1,option_1_desc,option_2,option_2_desc,option_3,option_3_desc,option_4,option_4_desc,correct_answer,vowelized,phrases,split
16Sepb1,16-Sep,b,NITE,1,חתונה:רווקות,הרווקות נגמרת בשעת החתונה,החמרה:שינוי,שינוי לרעה הוא החמרה,פרישה:גמלאוֹת,גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,שקיעה:יום,היום נגמר בשעת שקיעה,תספורת:קירחות,מי שסובל מקירחות אינו זקוק לתספורת,3,0,0,train
13Decb2,13-Dec,b,NITE,2,הקיש:הלם,אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,לחץ:נמחץ,אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,הרפה:אחז,אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,היכה:בעט,אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),נענע:טלטל,אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,4,0,0,train
16Sepa1,16-Sep,a,NITE,1,לקצוב:זמן,לקצוב פירושו לקבוע מידה מסוימת של זמן,לתחום:שטח,לתחום פירושו לקבוע מידה מסוימת של שטח,לתחום:תוואי,כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,לתחום:גדר,על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,לתחום:הפרדה,לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,1,0,0,train
16Sepa3,16-Sep,a,NITE,3,לזרום:שצף,מה ששצף ביצע את הפעולה של לזרום בכוח,לחתוך:גָזר,מי שגזר ביצע את הפעולה של לחתוך,לחמוד:לָקח,מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לאחוז:לָפת,מי שלפת ביצע את הפעולה של לאחוז בכוח,לשרוף:בָּער,אם משהו בער ייתכן שמישהו בחר לשרוף אותו,3,1,0,train
SU18a5,SU18,a,NITE,5,שבע רצון:סיפוק,שבע רצון הוא אדם שחש סיפוק,מנוכר:זרות,מנוכר הוא אדם שחש זרות,זהיר:סכנה,זהיר הוא אדם שנזהר מסכנה,זחוח:ענווה,זחוח הוא אדם שאינו מתנהג בענווה,אהוד:חיבה,אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,1,0,1,train
15Aprb2,15-Apr,b,NITE,2,שיירה:מְאסף,מאסף נמצא בסוף השיירה,תא הטייס:חרטום,תא הטייס נמצא בחרטום המטוס,מעמקים:אמודאי,אמודאי הוא צוללן שיכול לצלול למעמקים,מסלול:מטוס,מטוס נוסע על מסלול לפני ההמראה,ספינה:ירכתיים,ירכתיים נמצאים בסוף (תחתית) הספינה,4,0,0,train
13Julb6,13-Jul,b,NITE,6,כָּתַב:שכתוב,שכתוב היא פעולה שעשה מי שכתב מחדש,החזיר:שחזור,שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,העביד:שעבוד,שעבוד היא פעולה שעשה מי שהעביד אחר,הלהיב:שלהוב,הלהיב הוא מי שביצע על אחר פעולה של שלהוב,העריך:שערוך,שערוך היא פעולה שעשה מי שהעריך מחדש,4,1,0,train
17Decb6,17-Dec,b,NITE,6,נושה:חייב,נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,מורשע:אשם,מורשע הוא מי שנמצא אשם במשפט,שופט:בורר,שופט ובורר הם תפקידים דומים,אפוטרופוס:אחראי,אפוטרופוס הוא מי שאחראי על אדם אחר,בן:אב,בן הוא מי שיש אדם אחר שהוא האב שלו,4,0,0,train
SU22b3,SU22,b,NITE,3,לדוג:דג,לדוג פירשו לאסוף דג מהמים,לקטוף:פרי,לקטוף פירושו לאסוף פרי מהעץ,לאפות:מאפה,לאפות פירושו לאסוף פרי מהעץ,להקפיא:גלידה,להקפיא זו הפעולה שמבצעים לשם הכנת גלידה,לקלף:קליפה,לקלף פירושו להסיר את הקליפה,1,1,0,train
17Apra2,17-Apr,a,NITE,2,כינור:מיתרים,מיתרים מחוברים לגוף הכינור,פמוט:נרות,נרות מונחים על הפמוט,מזלג:שיניים,שיניים מחוברים לגוף המזלג,כריכה:דפים,דפים בספר מחוברים לכריכה (החלק החיצוני של הספר),מכחול:צבעים,צבעים מאפשרים למכחול לבצע את פעולתו (לצבוע),2,0,0,train
SP21a4,SP21,a,NITE,4,חייב:חוב,.חייב הוא אדם שיש לו חוב,ספרן:ספר,ספרן הוא מי שעובד במקום שבו מוצג ספר,שיכר:שכרות,שיכר הוא משקה חריף שעלול לגרום לשכרות,מנופה:נפה,דבר מנופה הוא דבר שהועבר דרך נפה,כרסתן:כרס,כרסתן הוא אדם שיש לו כרס,4,1,0,train
16Decb4,16-Dec,b,NITE,4,מסעד:שעון,מסעד מאפשר לאדם להיות שעון,ארוחה:רעֵב,ארוחה מאפשרת לאדם להפסיק להיות רעב,שמיכה:מכוסֶה,שמיכה מאפשרת לאדם להיות מכוסה,עיפרון:מחודד,כדי שעיפרון יעבוד היטב עליו להיות מחודד,משא:כבד,קשה להרים משא כלשהו אם הוא כבד,2,1,0,train
12Octb1,12-Oct,b,NITE,1,הפתיע:צפוי,מי שהפתיע עשה דבר מה לא צפוי,הרתיע:מאיים,,שיער:סביר,,שגה:נכון,מי ששגה עשה דבר מה לא נכון,פָּסַל:פגום,,3,1,0,train
15Jula1,15-Jul,a,NITE,1,דמיוני:ממש,דמיוני הוא מה שאין בו ממש,מושלם:פגם,מושלם הוא מה שאין בו פגם,רזה:משקל,רזה הוא מי שהמשקל שלו נמוך,מרוצה:תלונה,מי שמרוצה אינו נוטה להגיש תלונה,ישן:זמן,ישן הוא מה שקיים הרבה זמן,1,0,0,train
15Julb5,15-Jul,b,NITE,5,צַייר:דיוקן,דיוקן הוא תוצר עבודתו של הצייר,רקדן:ריקוד,ריקוד זו פעולה המבוצעת על ידי הרקדן,פסל:אזמל,אזמל הוא כלי המשמש את הפסל,קדר:קדרה,קדרה היא תוצר עבודתו של הקדר,נגן:כינור,כינור הוא כלי המשמש את הנגן,3,1,0,train
13Jula6,13-Jul,a,NITE,6,אצעדה:תכשיט,אצעדה היא סוג של תכשיט,הספד:שבח,הספד הוא מה שיכול שיכיל בתוכו שבח,קריצה:מחווה,קריצה היא סוג של מחווה,מאסף:טור,מאסף הוא מי שנמצא בסופו של טור,יציע:אולם,יציע הוא חלקו העליון של אולם,2,0,0,train
FA21b3,FA21,b,NITE,3,מופע:הדרן,הדרן הוא קטע הופעה נוסף שהאומן מצבע לאחר סוף המופע,ספר:נספח,נספח הוא קטע קריאה נוסף שמובא לאחר סוף הספר,תמונה:מסגרת,מסגרת תוחמת את התמונה,מחזה:מערכה,מערכה היא חלק מהמחזה,שיר:פזמון,פזמון הוא חלק שחוזר על עצמו מתוך שיר,1,0,0,train
14Febb4,14-Feb,b,NITE,4,משט:אנייה,משט מורכב ממספר אניות,קונצרט:מנצח,קונצרט מורכב ממנצח אחד ומנגנים לא ממספר מנצחים,תהלוכה:צועד,תהלוכה מורכבת ממספר צועדים,מופע:סדרן,במופע יש סדרנים אך המופע לא מורכב ממספר סדרנים,יציע:צופה,היציע מכיל צופים אך היציע מורכב ממספר מושבים,2,0,0,train
16Deca5,16-Dec,a,NITE,5,אח:שאֵר,אח הוא סוג של שאר (קרוב משפחה),מוזיקה:אמנות,מוזיקה היא סוג של אמנות,שירה:פיסול,שירה ופיסול הם שניהם סוגים של אמנות,תאטרון:הצגה,הצגה מועלית בתיאטרון,קולנוע:בימוי,הבימוי הוא חלק חשוב ביצירת סרט קולנוע ,1,1,0,train
WIN21b5,WIN21,b,NITE,5,ססגוני:צבע,ססגוני הוא מה שמאופיין בצבעים רבים ומגוונים,כוחני:כוח,כוחני הוא מי שמפעיל כוח רב,ריחני:ריח,ריחני הוא מה שיש לו ריח נעים,מפורט:פרט,מפורט הוא דבר מה המאופיין בפרטים רבים ומגוונים,מנומק:נימוק,מנומק הוא מה שיש לו נימוק,3,0,0,train
14Julb1,14-Jul,b,NITE,1,נכלם:בייש,אדם שבייש אדם אחר גרם לו להרגיש נכלם,ניחם:התחרט,אדם שניחם הוא אדם שהתגבר על חרטה כלשהי. התחרט הינו פועל שהמבצע עושה על עצמו,נזקק:סיפק,כאשר אדם נזקק לדבר מה הדרך לפתור את מצב זה היא כאשר אדם אחר מספק לו את הדבר,נסתר:הכמין,אדם שהכמין (החביא הסתיר) דבר מה גרם לו להיות נסתר,נידון:חנן,אדם שנידון הוא אדם העומד לדין וחנן זה פטר אדם מריצוי עונשו,3,0,0,train
14Aprb1,14-Apr,b,NITE,1,הכביר:להמעיט ,הכביר הוא מי שביצע פעולה הפוכה מלהמעיט,התריע:להיזהר,התריע הוא מי שביצע את הפעולה של להזהיר (מילים נרדפת),הלביש:לערטל,הלביש הוא מי שביצע את הפעולה ההפוכה מלערטל,הקשיב:להסכית,הקשיב הוא מי שביצע את הפעולה להסכית (מילים נרדפות),המתין:לבושש,המתין הוא מי שאדם אחר ביצע את הפעולה לבושש (התעכבות) ובכך גרם לאדם המדובר להיות במצבו,3,0,0,train
13Decb6,13-Dec,b,NITE,6,משכוֹן:לפדות,כדי להוציא דבר מה ממצב של משכון יש לפדות אותו,נדבה:לקבץ,נדבה היא דבר שיש לקבץ אותו,זיכרון:להנציח,על מנת שזיכרון יישאר באותו מצב (בו לא שוכחים אותו) יש להנציח אותו,אמתלה:לתרץ,אמתלה היא תירוץ. לתרץ זה להשתמש באמתלה,אבֵדה:למצוא,להוציא דבר מה ממצב של אבדה יש למצוא אותו,4,0,0,train
17Sepb1,17-Sep,b,NITE,1,צבע:שני,אחד מסוגי הצבע הוא שני,ריח:ריחני,דבר מה אשר מדיף ריח הוא ריחני,קול:חרישי,דבר מה אשר משמיע קול בעוצמה נמוכה הוא חרישי,טעם:מתוק,אחד מסוגי הטעם הוא מתוק,אור:בוהק,דבר מה אשר מפיץ אור הוא בוהק,3,0,0,train
13Aprb4,13-Apr,b,NITE,4,הפחיד:פקו ברכיו,אדם שפקו ברכיו הוא אדם שמישהו הפחיד אותו,תרם:קפץ ידו,,ייאש:רפו ידיו,אדם שרפו ידיו הוא אדם שמישהו אחר ייאש אותו,חטא:נקפו לבו,,מחל:יש בלבו,,2,0,0,train
13Deca5,13-Dec,a,NITE,5,תמימות:להונות,ניתן להונות בקלות אדם המתאפיין בתמימות,סלחנות:לפייס,ניתן לפייס בקלות אדם המתאפיין בסלחנות,עלגות:להתבטא,אדם המתאפיין בעילגות יתקשה להתבטא,דאגנות:לחשוש,אדם המתאפיין בדאגנות נוטה לחשוש,חסינות:לפגוע,לא ניתן לפגוע באדם בעל חסינות,1,0,0,train
15Decb6,15-Dec,b,NITE,6,קצר רוח:מיד,קצר רוח הוא מי שרוצה דבר מה מיד,מתרשל:היטב,מתרשל הוא מי שאינו עושה פעולה היטב,יכול:אפשר,יכול הוא מי שאפשר שיעשה דבר מה,פזיז:מהר,פזיז הוא מי שעושה דבר מה מהר,מתגעגע:שוב,מתגעגע הוא מי שרוצה דבר מה שוב,4,0,1,train
WIN21a1,WIN21,a,NITE,1,נגיש:להגיע,נגיש הוא תיאור לדבר שקל להגיע אליו,ניכר:להבחין,ניכר הוא תיאור לדבר שקל להבחין בו,נדוש:לחדש,נדוש הוא תיאור לדבר שלא נוטים לחדש (שלא חידשו אותו),תלול:להעפיל,תלול הוא תיאור לדבר שקשה להעפיל אליו,תשוש:להתעייף,אדם תשוש עשה את הפעולה של להתעייף,1,0,0,train
SU21b4,SU21,b,NITE,4,מהנה:הנאה,דבר מהנה הוא דבר שגורם לתחושת הנאה,מצחין:צחנה,דבר מצחין הוא דבר שעולה ממנו צחנה,מפחיד:פחד,דבר מפחיד הוא דבר שגורם לתחושת פחד,מקנא:קנאה,מי שמקנא חש קנאה כלפי מישהו אחר,מקשיב:קשב,מי שמקשיב לאדם אחר מפנה לו את הקשב שלו,2,0,0,train
14Deca5,14-Dec,a,NITE,5,חם:לוהט,עצם לוהט הוא מאוד חם,דק:דקיק,עצם דקיק הוא מאוד דק,מבוגר:בכור,הילד הבכור הוא הילד המבוגר ביותר אך אינו בהכרח מאוד מבוגר,בינוני:ענק,עצם שגודלו ענק הוא גדול בהרבה מעצם בינוני,חמוץ:חמצמץ,חמצמץ הוא מה שחמוץ במקצת,1,0,0,train
SU22b6,SU22,b,NITE,6,הסתלק:סילק,הסתלק הוא מי שסילק את עצמו,נזהר:הזהיר,נזהר הוא מי שנהג בזהירות כי אדם אחר הזהיר אותו,התחבק:חיבק,התחבק הוא מי שאדם אחר חיבק אותו והוא חיבק בחזרה,הצטווה:ציווה,הצטווה הוא מי שאדם אחר ציווה עליו,נצמד:הצמיד,נצמד הוא מי שהצמיד את עצמו,4,0,0,train
